"idBank";"Dernière mise à jour";"Nature";"Zone géographique";"Correction";"﻿Base de l'indice";"Périodicité";"Puissance";"Indicateur";"Unité"
"010567019";"24/02/2022 08:45";"Indice";"77 - Seine-et-Marne";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567020";"24/02/2022 08:45";"Indice";"78 - Yvelines";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567021";"24/02/2022 08:45";"Indice";"78 - Yvelines";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567022";"24/02/2022 08:45";"Indice";"78 - Yvelines";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567023";"24/02/2022 08:45";"Indice";"78 - Yvelines";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567024";"24/02/2022 08:45";"Indice";"78 - Yvelines";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567025";"24/02/2022 08:45";"Indice";"78 - Yvelines";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567026";"24/02/2022 08:45";"Indice";"91 - Essonne";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567027";"24/02/2022 08:45";"Indice";"91 - Essonne";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567028";"24/02/2022 08:45";"Indice";"91 - Essonne";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567029";"24/02/2022 08:45";"Indice";"91 - Essonne";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des logements anciens";"sans objet"
"010567030";"24/02/2022 08:45";"Indice";"91 - Essonne";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567031";"24/02/2022 08:45";"Indice";"91 - Essonne";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des maisons (logements anciens)";"sans objet"
"010567032";"24/02/2022 08:45";"Indice";"92 - Hauts-de-Seine";"Non corrigé";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
"010567033";"24/02/2022 08:45";"Indice";"92 - Hauts-de-Seine";"Corrigé des variations saisonnières";"2015";"Trimestrielle";"0";"Indice de prix des appartements (logements anciens)";"sans objet"
