"idBank";"Dernière mise à jour";"Correction";"Quotité de temps de travail";"Puissance";"Indicateur";"Série arrêtée";"Nature";"Métiers";"﻿Base de l'indice";"Périodicité";"Unité";"Zone géographique";"Sexe";"Nomenclature de valorisations"
"001665157";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Évolution du pouvoir d'achat du salaire net annuel moyen";"oui";"Taux";"Sans objet";"Sans objet";"Annuelle";"%";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665159";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Indice du pouvoir d'achat du salaire net annuel moyen";"oui";"Indice";"Sans objet";"1951";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665160";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Indice du pouvoir d'achat du salaire net annuel moyen";"oui";"Indice";"Sans objet";"1951";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665161";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Indice du pouvoir d'achat du salaire net annuel moyen";"oui";"Indice";"Sans objet";"1951";"Annuelle";"sans objet";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665162";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Chefs d'entreprise";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665163";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Chefs d'entreprise";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665164";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Chefs d'entreprise";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665165";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Cadres et professions intellectuelles supérieures";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665166";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Cadres et professions intellectuelles supérieures";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665167";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Cadres et professions intellectuelles supérieures";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
"001665168";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Professions intermédiaires";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Hommes";"Sans objet"
"001665169";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Professions intermédiaires";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Femmes";"Sans objet"
"001665170";"07/11/2017 04:49";"Non corrigé";"Temps complet";"0";"Salaire net annuel moyen";"oui";"Valeur absolue";"Professions intermédiaires";"Sans objet";"Annuelle";"euros";"France métropolitaine jusqu'en 1999, France (métropole + DOM) depuis 2000";"Ensemble";"Sans objet"
